EVENT_DATE,LATITUDE,LONGITUDE
2020-05-30,41.154,-81.358
2020-05-30,31.117,-97.728
2020-05-30,43.801,-91.24
2020-05-30,30.224,-92.02
2020-05-30,40.038,-76.305
2020-05-30,32.319,-106.77
2020-05-30,36.901,-82.08
2020-05-30,40.743,-84.105
2020-05-30,46.138,-122.936
2020-05-30,42.633,-71.316
2020-05-30,37.414,-79.142
2020-05-30,39.183,-96.571
2020-05-30,44.089,-87.658
2020-05-30,40.758,-82.515
2020-05-30,40.558,-85.659
2020-05-30,40.589,-83.129
2020-05-30,29.899,-90.1
2020-05-30,37.303,-120.484
2020-05-30,39.402,-75.039
2020-05-30,37.643,-120.992
2020-05-30,44.263,-72.581
2020-05-30,41.636,-70.934
2020-05-30,40.486,-74.452
2020-05-30,41.748,-74.087
2020-05-30,40.731,-73.796
2020-05-30,42.813,-70.877
2020-05-30,48.293,-122.643
2020-05-30,37.774,-87.113
2020-05-30,30.177,-85.805
2020-05-30,31.423,-103.493
2020-05-30,31.347,-89.26
2020-05-30,40.092,-74.048
2020-05-30,42.971,-82.425
2020-05-30,36.067,-119.018
2020-05-30,34.609,-112.316
2020-05-30,46.681,-68.016
2020-05-30,38.254,-104.611
2020-05-30,44.562,-92.534
2020-05-30,43.419,-83.951
2020-05-30,38.704,-93.229
2020-05-30,35.327,-96.925
2020-05-30,31.541,-110.272
2020-05-30,47.529,-121.826
2020-05-30,38.627,-90.191
2020-05-30,33.92,-80.341
2020-05-30,42.004,-83.945
2020-05-30,31.098,-97.343
2020-05-30,34.258,-88.705
2020-05-30,47.45,-122.459
2020-05-30,21.279,-157.829
2020-05-30,38.89,-77.009
2020-05-30,41.377,-71.824
2020-05-30,40.028,-74.869
2020-05-30,45.122,-95.043
2020-05-30,42.263,-71.802
2020-05-30,39.804,-83.893
2020-05-30,39.94,-82.013
2020-05-30,41.974,-91.677
2020-05-30,29.596,-90.72
2020-05-30,37.084,-94.514
2020-05-30,41.916,-83.398
2020-05-30,35.108,-77.044
2020-05-30,44.022,-92.47
2020-05-30,32.084,-81.1
2020-05-30,34.989,-90.013
2020-05-30,38.668,-90.333
2020-05-30,42.354,-85.863
2020-05-30,30.628,-96.334
2020-05-30,39.728,-121.837
2020-05-30,47.925,-97.033
2020-05-30,33.215,-97.133
2020-05-30,42.788,-86.109
2020-05-30,32.449,-99.733
2020-05-30,42.416,-71.156
2020-05-30,40.797,-74.482
2020-05-30,42.467,-70.949
2020-05-30,42.614,-70.663
2020-05-30,42.276,-77.754
2020-05-30,39.702,-75.11
2020-05-30,39.733,-75.132
2020-05-30,39.364,-74.423
2020-05-30,40.608,-74.278
2020-05-30,40.622,-74.244
2020-05-30,40.174,-80.246
2020-05-30,35.783,-80.887
2020-05-30,33.93,-84.373
2020-05-30,32.613,-83.624
2020-05-30,26.71,-80.064
2020-05-30,37.328,-87.499
2020-05-30,36.33,-119.292
2020-05-30,34.853,-82.394
2020-05-30,40.486,-86.134
2020-05-30,42.871,-71.952
2020-05-30,34.389,-118.548
2020-05-30,40.606,-74.135
2020-05-30,40.038,-76.305
2020-05-30,33.578,-101.855
2020-05-30,43.367,-124.218
2020-05-30,34.538,-117.291
2020-05-30,33.689,-78.887
2020-05-30,37.809,-85.467
2020-05-30,38.624,-90.151
2020-05-30,43.07,-76.215
2020-05-30,29.532,-95.528
2020-05-30,42.386,-82.912
